MASS        E           DATA        ERR-S
95.         2.7         0.143478    0.0172705
95.         2.9         0.0788927   0.0129527
95.         3.1         0.0789391   0.0132077
95.         3.3         0.0778656   0.0137272
95.         3.5         0.0477234   0.0106954
95.         3.7         0.037648    0.00989869
95.         3.9         0.0388967   0.00995412
95.         4.1         0.0251932   0.00822201
95.         4.3         0.0175366   0.00687754
95.         4.5         0.0534216   0.0128756
95.         4.7         0.0212952   0.00819027
95.         4.9         0.0239316   0.00868958
95.         5.1         0.01773     0.00801861
95.         5.3         0.0133031   0.00671013
95.         5.5         0.          0.
95.         5.7         0.0158239   0.00808104
95.         5.9         0.          0.
95.         6.1         0.          0.
95.         6.3         0.0148937   0.00772214
95.         6.5         0.          0.
95.         6.7         0.          0.
95.         6.9         0.          0.
95.         7.1         0.          0.
95.         7.3         0.          0.
95.         7.5         0.          0.
95.         7.7         0.          0.
95.         7.9         0.          0.
95.         8.1         0.          0.
95.         8.3         0.          0.
95.         8.5         0.          0.
95.         8.7         0.          0.
95.         8.9         0.          0.
95.         9.1         0.          0.
95.         9.3         0.          0.
95.         9.5         0.          0.
95.         9.7         0.          0.
95.         9.9         0.          0.
95.         10.1        0.          0.
95.         10.3        0.          0.
95.         10.5        0.          0.
95.         10.7        0.          0.
95.         10.9        0.          0.
95.         11.1        0.          0.
95.         11.3        0.          0.
95.         11.5        0.          0.
95.         11.7        0.          0.
95.         11.9        0.          0.
95.         12.1        0.          0.
95.         12.3        0.          0.
95.         12.5        0.          0.
95.         12.7        0.          0.
95.         12.9        0.          0.
95.         13.1        0.          0.
95.         13.3        0.          0.
95.         13.5        0.          0.
95.         13.7        0.          0.
95.         13.9        0.          0.
95.         14.1        0.          0.
95.         14.3        0.          0.
95.         14.5        0.          0.
95.         14.7        0.          0.
95.         14.9        0.          0.
96.         0.1         0.527033    0.0240937
96.         0.3         0.857648    0.0292314
96.         0.5         0.886799    0.0298876
96.         0.7         0.773557    0.0285039
96.         0.9         0.66694     0.0270344
96.         1.1         0.580075    0.0256589
96.         1.3         0.477833    0.0238976
96.         1.5         0.387808    0.0219841
96.         1.7         0.309925    0.020031
96.         1.9         0.270099    0.0192682
96.         2.1         0.227334    0.0179827
96.         2.3         0.212473    0.017907
96.         2.5         0.172185    0.0165082
96.         2.7         0.126379    0.0142325
96.         2.9         0.0931815   0.0125384
96.         3.1         0.0725901   0.0115902
96.         3.3         0.0650389   0.0111513
96.         3.5         0.0540702   0.0102752
96.         3.7         0.0466912   0.00948216
96.         3.9         0.0446123   0.00946407
96.         4.1         0.0266454   0.00725725
96.         4.3         0.0215898   0.00691503
96.         4.5         0.0149929   0.00544909
96.         4.7         0.0218565   0.00737228
96.         4.9         0.0105478   0.00540813
96.         5.1         0.          0.
96.         5.3         0.0128355   0.0058097
96.         5.5         0.017811    0.00734748
96.         5.7         0.          0.
96.         5.9         0.          0.
96.         6.1         0.          0.
96.         6.3         0.          0.
96.         6.5         0.          0.
96.         6.7         0.          0.
96.         6.9         0.          0.
96.         7.1         0.          0.
96.         7.3         0.          0.
96.         7.5         0.014399    0.00724678
96.         7.7         0.          0.
96.         7.9         0.          0.
96.         8.1         0.          0.
96.         8.3         0.          0.
96.         8.5         0.          0.
96.         8.7         0.          0.
96.         8.9         0.          0.
96.         9.1         0.          0.
96.         9.3         0.          0.
96.         9.5         0.          0.
96.         9.7         0.          0.
96.         9.9         0.          0.
96.         10.1        0.          0.
96.         10.3        0.          0.
96.         10.5        0.          0.
96.         10.7        0.          0.
96.         10.9        0.          0.
96.         11.1        0.          0.
96.         11.3        0.          0.
96.         11.5        0.          0.
96.         11.7        0.          0.
96.         11.9        0.          0.
96.         12.1        0.          0.
96.         12.3        0.          0.
96.         12.5        0.          0.
96.         12.7        0.          0.
96.         12.9        0.          0.
96.         13.1        0.          0.
96.         13.3        0.          0.
96.         13.5        0.          0.
96.         13.7        0.          0.
96.         13.9        0.          0.
96.         14.1        0.          0.
96.         14.3        0.          0.
96.         14.5        0.          0.
96.         14.7        0.          0.
96.         14.9        0.          0.
97.         0.1         0.474544    0.0208788
97.         0.3         0.920237    0.0272572
97.         0.5         0.902282    0.0271776
97.         0.7         0.76507     0.0254434
97.         0.9         0.663136    0.0241616
97.         1.1         0.549742    0.0225143
97.         1.3         0.465356    0.0211633
97.         1.5         0.420021    0.0205488
97.         1.7         0.357792    0.0194061
97.         1.9         0.280406    0.0174542
97.         2.1         0.2115      0.0155108
97.         2.3         0.199152    0.0154723
97.         2.5         0.129014    0.0127305
97.         2.7         0.101705    0.0115967
97.         2.9         0.0745856   0.0102622
97.         3.1         0.097822    0.0120245
97.         3.3         0.0697831   0.0101337
97.         3.5         0.049676    0.00874841
97.         3.7         0.0421496   0.00797925
97.         3.9         0.0438816   0.00875349
97.         4.1         0.0360287   0.00805893
97.         4.3         0.0174014   0.00536326
97.         4.5         0.0264461   0.00686173
97.         4.7         0.0285281   0.00731909
97.         4.9         0.0130134   0.00505454
97.         5.1         0.0117094   0.00485053
97.         5.3         0.0170224   0.00616045
97.         5.5         0.          0.
97.         5.7         0.          0.
97.         5.9         0.          0.
97.         6.1         0.010269    0.00516969
97.         6.3         0.00660371  0.00394761
97.         6.5         0.          0.
97.         6.7         0.          0.
97.         6.9         0.          0.
97.         7.1         0.          0.
97.         7.3         0.          0.
97.         7.5         0.          0.
97.         7.7         0.          0.
97.         7.9         0.          0.
97.         8.1         0.          0.
97.         8.3         0.          0.
97.         8.5         0.          0.
97.         8.7         0.          0.
97.         8.9         0.          0.
97.         9.1         0.          0.
97.         9.3         0.          0.
97.         9.5         0.          0.
97.         9.7         0.          0.
97.         9.9         0.          0.
